Work.Velocity,Error.Rate
16.4,9.08
17.7,9.38
15,8.38
16.7,9.4
17.5,9.98
16.4,9.25
16.4,9.08
18.7,9.88
18.5,9.43
18.5,9.78
18.3,9.33
17.7,9.2
16.3,8.33
17.7,9.55
16.1,9.28
17.7,9.9
18.6,10.35
15.4,8.05
17.2,9.48
17.6,9.33
15.5,8.8
18.7,9.53
16.1,8.75
17.7,9.73
18.8,10.28
18.9,10.68
17.1,9.25
15.3,7.83
17.2,9.48
17.8,9.6
16.1,8.93
18.3,9.85
15.2,8.48
17.8,10.13
16.3,8.33
16.7,9.58
18.2,10.5
15.8,8.25
16.3,8.85
16.3,8.68
15.7,8.38
16.6,9.35
17.8,9.78
15.3,8.88
16,8.53
15.2,8.65
15.4,7.88
16.6,9
16.3,9.2
17.1,9.25
